Object 1 , Object 2, Relations
 ,RCC8, 
11,18,disconnected
11,23,disconnected
11,21,disconnected
11,14,disconnected
11,15,disconnected
11,10,disconnected
11,12,connected
11,G2,disconnected
11,22,disconnected
11,0,connected
11,20,connected
11,19,disconnected
9,18,disconnected
9,23,disconnected
9,21,disconnected
9,14,disconnected
9,15,disconnected
9,10,connected
9,12,disconnected
9,G2,connected
9,22,disconnected
9,0,disconnected
9,20,disconnected
9,19,disconnected
18,23,disconnected
18,21,disconnected
18,14,disconnected
18,15,connected
18,10,disconnected
18,12,disconnected
18,G2,disconnected
18,22,disconnected
18,0,disconnected
18,20,disconnected
18,19,disconnected
23,21,disconnected
23,14,disconnected
23,15,disconnected
23,10,disconnected
23,12,disconnected
23,G2,disconnected
23,22,connected
23,0,disconnected
23,20,disconnected
23,19,disconnected
21,14,disconnected
21,15,disconnected
21,10,disconnected
21,12,disconnected
21,G2,disconnected
21,22,connected
21,0,disconnected
21,20,connected
21,19,disconnected
14,15,connected
14,10,connected
14,12,connected
14,G2,disconnected
14,22,disconnected
14,0,disconnected
14,20,disconnected
14,19,connected
15,10,disconnected
15,12,disconnected
15,G2,disconnected
15,22,disconnected
15,0,disconnected
15,20,disconnected
15,19,connected
10,12,connected
10,G2,connected
10,22,disconnected
10,0,disconnected
10,20,disconnected
10,19,disconnected
12,G2,disconnected
12,22,disconnected
12,0,disconnected
12,20,disconnected
12,19,disconnected
G2,22,disconnected
G2,0,connected
G2,20,disconnected
G2,19,disconnected
22,0,disconnected
22,20,connected
22,19,disconnected
0,20,connected
0,19,disconnected
20,19,disconnected
 ,linearOrdering, 
110111,110112,overlaps
110111,110113,before
110111,110114,overlaps
110111,110115,overlaps
110111,110116,overlaps
110111,110117,overlaps
110111,110118,after
110111,110119,after
110111,110120,after
110111,7,after
110111,8,after
110111,25,before
110111,26,before
110111,24,overlaps
110112,110113,before
110112,110114,overlaps
110112,110115,overlaps
110112,110116,overlaps
110112,110117,overlaps
110112,110118,overlapped_by
110112,110119,overlapped_by
110112,110120,overlapped_by
110112,7,overlapped_by
110112,8,overlapped_by
110112,25,overlaps
110112,26,before
110112,24,overlapped_by
110113,110114,finishes
110113,110115,finishes
110113,110116,overlaps
110113,110117,overlaps
110113,110118,after
110113,110119,after
110113,110120,after
110113,7,after
110113,8,after
110113,25,overlaps
110113,26,before
110113,24,after
110114,110115,finishes
110114,110116,overlaps
110114,110117,overlaps
110114,110118,overlapped_by
110114,110119,overlapped_by
110114,110120,overlapped_by
110114,7,overlapped_by
110114,8,overlapped_by
110114,25,overlaps
110114,26,before
110114,24,overlapped_by
110115,110116,overlaps
110115,110117,overlaps
110115,110118,overlapped_by
110115,110119,overlapped_by
110115,110120,overlapped_by
110115,7,overlapped_by
110115,8,overlapped_by
110115,25,overlaps
110115,26,before
110115,24,overlapped_by
110116,110117,finishes
110116,110118,overlapped_by
110116,110119,overlapped_by
110116,110120,overlapped_by
110116,7,overlapped_by
110116,8,overlapped_by
110116,25,overlaps
110116,26,before
110116,24,overlapped_by
110117,110118,overlapped_by
110117,110119,overlapped_by
110117,110120,overlapped_by
110117,7,overlapped_by
110117,8,overlapped_by
110117,25,overlaps
110117,26,before
110117,24,overlapped_by
110118,110119,after
110118,110120,overlaps
110118,7,before
110118,8,after
110118,25,before
110118,26,before
110118,24,before
110119,110120,overlaps
110119,7,before
110119,8,after
110119,25,before
110119,26,before
110119,24,before
110120,7,before
110120,8,overlapped_by
110120,25,before
110120,26,before
110120,24,before
7,8,after
7,25,before
7,26,before
7,24,before
8,25,before
8,26,before
8,24,before
25,26,before
25,24,overlapped_by
26,24,after
