Object 1 , Object 2, Relations
 ,RCC8, 
110131,30,dc
110131,29,dc
110132,110133,null
110132,110134,dc
110132,110135,dc
110132,110136,dc
110132,110137,dc
110132,110138,dc
110132,110139,dc
110132,24,dc
110132,25,dc
110132,26,dc
110132,27,dc
110132,28,dc
110132,30,dc
110132,29,dc
110133,110134,null
110133,110135,dc
110133,110136,dc
110133,110137,dc
110133,110138,dc
110133,110139,dc
110133,24,dc
110133,25,dc
110133,26,dc
110133,27,dc
110133,28,dc
110133,30,dc
110133,29,dc
110134,110135,null
110134,110136,dc
110134,110137,dc
110134,110138,dc
110134,110139,dc
110134,24,dc
110134,25,dc
110134,26,dc
110134,27,dc
110134,28,dc
110134,30,dc
110134,29,dc
110135,110136,null
110135,110137,dc
110135,110138,dc
110135,110139,dc
110135,24,dc
110135,25,dc
110135,26,dc
110135,27,dc
110135,28,dc
110135,30,dc
110135,29,dc
110136,110137,null
110136,110138,dc
110136,110139,dc
110136,24,dc
110136,25,dc
110136,26,dc
110136,27,dc
110136,28,dc
110136,30,dc
110136,29,dc
110137,110138,null
110137,110139,dc
110137,24,dc
110137,25,dc
110137,26,dc
110137,27,dc
110137,28,dc
110137,30,dc
110137,29,dc
110138,110139,null
110138,24,dc
110138,25,dc
110138,26,dc
110138,27,dc
110138,28,dc
110138,30,dc
110138,29,dc
110139,24,dc
110139,25,dc
110139,26,dc
110139,27,dc
110139,28,dc
110139,30,dc
110139,29,dc
24,25,dc
24,26,dc
24,27,dc
24,28,dc
24,30,dc
24,29,dc
25,26,dc
25,27,dc
25,28,dc
25,30,dc
25,29,dc
26,27,dc
26,28,dc
26,30,dc
26,29,dc
27,28,dc
27,30,dc
27,29,dc
28,30,dc
28,29,null
30,29,dc
 ,DE9IM, 
110111,13,disjoint
110111,8,disjoint
110111,14,disjoint
110111,21,disjoint
110111,19,disjoint
110111,20,disjoint
110111,15,disjoint
110111,G7,disjoint
110111,G4,disjoint
110111,18,disjoint
110111,17,disjoint
110111,16,disjoint
110111,0,disjoint
110111,1,disjoint
110111,2,disjoint
110111,22,disjoint
110111,110204,disjoint
110111,23,disjoint
110112,13,disjoint
110112,8,disjoint
110112,14,disjoint
110112,21,disjoint
110112,19,disjoint
110112,20,disjoint
110112,15,disjoint
110112,G7,disjoint
110112,G4,disjoint
110112,18,disjoint
110112,17,disjoint
110112,16,disjoint
110112,0,disjoint
110112,1,disjoint
110112,2,disjoint
110112,22,disjoint
110112,110204,disjoint
110112,23,disjoint
110113,13,disjoint
110113,8,disjoint
110113,14,disjoint
110113,21,disjoint
110113,19,disjoint
110113,20,disjoint
110113,15,disjoint
110113,G7,disjoint
110113,G4,disjoint
110113,18,disjoint
110113,17,disjoint
110113,16,disjoint
110113,0,disjoint
110113,1,disjoint
110113,2,disjoint
110113,22,disjoint
110113,110204,disjoint
110113,23,disjoint
110114,13,disjoint
110114,8,disjoint
110114,14,disjoint
110114,21,disjoint
110114,19,disjoint
110114,20,disjoint
110114,15,disjoint
110114,G7,disjoint
110114,G4,disjoint
110114,18,disjoint
110114,17,disjoint
110114,16,disjoint
110114,0,disjoint
110114,1,disjoint
110114,2,disjoint
110114,22,disjoint
110114,110204,disjoint
110114,23,disjoint
110115,13,disjoint
110115,8,disjoint
110115,14,disjoint
110115,21,disjoint
110115,19,disjoint
110115,20,disjoint
110115,15,disjoint
110115,G7,disjoint
110115,G4,disjoint
110115,18,disjoint
110115,17,disjoint
110115,16,disjoint
110115,0,disjoint
110115,1,disjoint
110115,2,disjoint
110115,22,disjoint
110115,110204,disjoint
110115,23,disjoint
110116,13,disjoint
110116,8,disjoint
110116,14,disjoint
110116,21,disjoint
110116,19,disjoint
110116,20,disjoint
110116,15,disjoint
110116,G7,disjoint
110116,G4,disjoint
110116,18,disjoint
110116,17,disjoint
110116,16,disjoint
110116,0,disjoint
110116,1,disjoint
110116,2,disjoint
110116,22,disjoint
110116,110204,disjoint
110116,23,disjoint
110117,13,disjoint
110117,8,disjoint
110117,14,disjoint
110117,21,disjoint
110117,19,disjoint
110117,20,disjoint
110117,15,disjoint
110117,G7,disjoint
110117,G4,disjoint
110117,18,disjoint
110117,17,disjoint
110117,16,disjoint
110117,0,disjoint
110117,1,disjoint
110117,2,disjoint
110117,22,disjoint
110117,110204,disjoint
110117,23,disjoint
110118,13,disjoint
110118,8,disjoint
110118,14,disjoint
110118,21,disjoint
110118,19,disjoint
110118,20,disjoint
110118,15,disjoint
110118,G7,disjoint
110118,G4,disjoint
110118,18,disjoint
110118,17,disjoint
110118,16,disjoint
110118,0,disjoint
110118,1,disjoint
110118,2,disjoint
110118,22,disjoint
110118,110204,disjoint
110118,23,disjoint
110119,13,disjoint
110119,8,disjoint
110119,14,disjoint
110119,21,disjoint
110119,19,disjoint
110119,20,disjoint
110119,15,disjoint
110119,G7,disjoint
110119,G4,disjoint
110119,18,disjoint
110119,17,disjoint
110119,16,disjoint
110119,0,disjoint
110119,1,disjoint
110119,2,disjoint
110119,22,disjoint
110119,110204,disjoint
110119,23,disjoint
110120,13,disjoint
110120,8,disjoint
110120,14,disjoint
110120,21,disjoint
110120,19,disjoint
110120,20,disjoint
110120,15,disjoint
110120,G7,disjoint
110120,G4,disjoint
110120,18,disjoint
110120,17,disjoint
110120,16,disjoint
110120,0,disjoint
110120,1,disjoint
110120,2,disjoint
110120,22,disjoint
110120,110204,disjoint
110120,23,disjoint
110121,13,disjoint
110121,8,disjoint
110121,14,disjoint
110121,21,disjoint
110121,19,disjoint
110121,20,disjoint
110121,15,disjoint
110121,G7,disjoint
110121,G4,disjoint
110121,18,disjoint
110121,17,disjoint
110121,16,disjoint
110121,0,disjoint
110121,1,disjoint
110121,2,disjoint
110121,22,disjoint
110121,110204,disjoint
110121,23,disjoint
110122,13,disjoint
110122,8,disjoint
110122,14,disjoint
110122,21,disjoint
110122,19,disjoint
110122,20,disjoint
110122,15,disjoint
110122,G7,disjoint
110122,G4,disjoint
110122,18,disjoint
110122,17,disjoint
110122,16,disjoint
110122,0,disjoint
110122,1,disjoint
110122,2,disjoint
110122,22,disjoint
110122,110204,disjoint
110122,23,disjoint
110123,13,disjoint
110123,8,disjoint
110123,14,disjoint
110123,21,disjoint
110123,19,disjoint
110123,20,disjoint
110123,15,disjoint
110123,G7,disjoint
110123,G4,disjoint
110123,18,disjoint
110123,17,disjoint
110123,16,disjoint
110123,0,disjoint
110123,1,disjoint
110123,2,disjoint
110123,22,disjoint
110123,110204,disjoint
110123,23,disjoint
110124,13,disjoint
110124,8,disjoint
110124,14,disjoint
110124,21,disjoint
110124,19,disjoint
110124,20,disjoint
110124,15,disjoint
110124,G7,disjoint
110124,G4,disjoint
110124,18,disjoint
110124,17,disjoint
110124,16,disjoint
110124,0,disjoint
110124,1,disjoint
110124,2,disjoint
110124,22,disjoint
110124,110204,disjoint
110124,23,disjoint
110125,13,disjoint
110125,8,disjoint
110125,14,disjoint
110125,21,disjoint
110125,19,disjoint
110125,20,disjoint
110125,15,disjoint
110125,G7,disjoint
110125,G4,disjoint
110125,18,disjoint
110125,17,disjoint
110125,16,disjoint
110125,0,disjoint
110125,1,disjoint
110125,2,disjoint
110125,22,disjoint
110125,110204,disjoint
110125,23,disjoint
110126,13,disjoint
110126,8,disjoint
110126,14,disjoint
110126,21,disjoint
110126,19,disjoint
110126,20,disjoint
110126,15,disjoint
110126,G7,disjoint
110126,G4,disjoint
110126,18,disjoint
110126,17,disjoint
110126,16,disjoint
110126,0,disjoint
110126,1,disjoint
110126,2,disjoint
110126,22,disjoint
110126,110204,disjoint
110126,23,disjoint
110127,13,disjoint
110127,8,disjoint
110127,14,disjoint
110127,21,disjoint
110127,19,disjoint
110127,20,disjoint
110127,15,disjoint
110127,G7,disjoint
110127,G4,disjoint
110127,18,disjoint
110127,17,disjoint
110127,16,disjoint
110127,0,disjoint
110127,1,disjoint
110127,2,disjoint
110127,22,disjoint
110127,110204,disjoint
110127,23,disjoint
110128,13,disjoint
110128,8,disjoint
110128,14,disjoint
110128,21,disjoint
110128,19,disjoint
110128,20,disjoint
110128,15,disjoint
110128,G7,disjoint
110128,G4,disjoint
110128,18,disjoint
110128,17,disjoint
110128,16,disjoint
110128,0,disjoint
110128,1,disjoint
110128,2,disjoint
110128,22,disjoint
110128,110204,disjoint
110128,23,disjoint
110129,13,disjoint
110129,8,disjoint
110129,14,disjoint
110129,21,disjoint
110129,19,disjoint
110129,20,disjoint
110129,15,disjoint
110129,G7,disjoint
110129,G4,disjoint
110129,18,disjoint
110129,17,disjoint
110129,16,disjoint
110129,0,disjoint
110129,1,disjoint
110129,2,disjoint
110129,22,disjoint
110129,110204,disjoint
110129,23,disjoint
110130,13,disjoint
110130,8,disjoint
110130,14,disjoint
110130,21,disjoint
110130,19,disjoint
110130,20,disjoint
110130,15,disjoint
110130,G7,disjoint
110130,G4,disjoint
110130,18,disjoint
110130,17,disjoint
110130,16,disjoint
110130,0,disjoint
110130,1,disjoint
110130,2,disjoint
110130,22,disjoint
110130,110204,disjoint
110130,23,disjoint
110131,13,disjoint
110131,8,disjoint
110131,14,disjoint
110131,21,disjoint
110131,19,disjoint
110131,20,disjoint
110131,15,disjoint
110131,G7,disjoint
110131,G4,disjoint
110131,18,disjoint
110131,17,disjoint
110131,16,disjoint
110131,0,disjoint
110131,1,disjoint
110131,2,disjoint
110131,22,disjoint
110131,110204,disjoint
110131,23,disjoint
110132,13,disjoint
110132,8,disjoint
110132,14,disjoint
110132,21,disjoint
110132,19,disjoint
110132,20,disjoint
110132,15,disjoint
110132,G7,disjoint
110132,G4,disjoint
110132,18,disjoint
110132,17,disjoint
110132,16,disjoint
110132,0,disjoint
110132,1,disjoint
110132,2,disjoint
110132,22,disjoint
110132,110204,disjoint
110132,23,disjoint
110133,13,disjoint
110133,8,disjoint
110133,14,disjoint
110133,21,disjoint
110133,19,disjoint
110133,20,disjoint
110133,15,disjoint
110133,G7,disjoint
110133,G4,disjoint
110133,18,disjoint
110133,17,disjoint
110133,16,disjoint
110133,0,disjoint
110133,1,disjoint
110133,2,disjoint
110133,22,disjoint
110133,110204,disjoint
110133,23,disjoint
110134,13,disjoint
110134,8,disjoint
110134,14,disjoint
110134,21,disjoint
110134,19,disjoint
110134,20,disjoint
110134,15,disjoint
110134,G7,disjoint
110134,G4,disjoint
110134,18,disjoint
110134,17,disjoint
110134,16,disjoint
110134,0,disjoint
110134,1,disjoint
110134,2,disjoint
110134,22,disjoint
110134,110204,disjoint
110134,23,disjoint
110135,13,disjoint
110135,8,disjoint
110135,14,disjoint
110135,21,disjoint
110135,19,disjoint
110135,20,disjoint
110135,15,disjoint
110135,G7,disjoint
110135,G4,disjoint
110135,18,disjoint
110135,17,disjoint
110135,16,disjoint
110135,0,disjoint
110135,1,disjoint
110135,2,disjoint
110135,22,disjoint
110135,110204,disjoint
110135,23,disjoint
110136,13,disjoint
110136,8,disjoint
110136,14,disjoint
110136,21,disjoint
110136,19,disjoint
110136,20,disjoint
110136,15,disjoint
110136,G7,disjoint
110136,G4,disjoint
110136,18,disjoint
110136,17,disjoint
110136,16,disjoint
110136,0,disjoint
110136,1,disjoint
110136,2,disjoint
110136,22,disjoint
110136,110204,disjoint
110136,23,disjoint
110137,13,disjoint
110137,8,disjoint
110137,14,disjoint
110137,21,disjoint
110137,19,disjoint
110137,20,disjoint
110137,15,disjoint
110137,G7,disjoint
110137,G4,disjoint
110137,18,disjoint
110137,17,disjoint
110137,16,disjoint
110137,0,disjoint
110137,1,disjoint
110137,2,disjoint
110137,22,disjoint
110137,110204,disjoint
110137,23,disjoint
110138,13,disjoint
110138,8,disjoint
110138,14,disjoint
110138,21,disjoint
110138,19,disjoint
110138,20,disjoint
110138,15,disjoint
110138,G7,disjoint
110138,G4,disjoint
110138,18,disjoint
110138,17,disjoint
110138,16,disjoint
110138,0,disjoint
110138,1,disjoint
110138,2,disjoint
110138,22,disjoint
110138,110204,disjoint
110138,23,disjoint
110139,13,disjoint
110139,8,disjoint
110139,14,disjoint
110139,21,disjoint
110139,19,disjoint
110139,20,disjoint
110139,15,disjoint
110139,G7,disjoint
110139,G4,disjoint
110139,18,disjoint
110139,17,disjoint
110139,16,disjoint
110139,0,disjoint
110139,1,disjoint
110139,2,disjoint
110139,22,disjoint
110139,110204,disjoint
110139,23,disjoint
24,13,disjoint
24,8,disjoint
24,14,disjoint
24,21,disjoint
24,19,disjoint
24,20,disjoint
24,15,disjoint
24,G7,disjoint
24,G4,disjoint
24,18,disjoint
24,17,disjoint
24,16,disjoint
24,0,disjoint
24,1,disjoint
24,2,disjoint
24,22,disjoint
24,110204,disjoint
24,23,disjoint
25,13,disjoint
25,8,disjoint
25,14,disjoint
25,21,disjoint
25,19,disjoint
25,20,disjoint
25,15,disjoint
25,G7,disjoint
25,G4,disjoint
25,18,disjoint
25,17,disjoint
25,16,disjoint
25,0,disjoint
25,1,disjoint
25,2,disjoint
25,22,disjoint
25,110204,disjoint
25,23,disjoint
26,13,disjoint
26,8,disjoint
26,14,disjoint
26,21,disjoint
26,19,disjoint
26,20,disjoint
26,15,disjoint
26,G7,disjoint
26,G4,disjoint
26,18,disjoint
26,17,disjoint
26,16,disjoint
26,0,disjoint
26,1,disjoint
26,2,disjoint
26,22,disjoint
26,110204,disjoint
26,23,disjoint
27,13,disjoint
27,8,disjoint
27,14,disjoint
27,21,disjoint
27,19,disjoint
27,20,disjoint
27,15,disjoint
27,G7,disjoint
27,G4,disjoint
27,18,disjoint
27,17,disjoint
27,16,disjoint
27,0,disjoint
27,1,disjoint
27,2,disjoint
27,22,disjoint
27,110204,disjoint
27,23,disjoint
28,13,disjoint
28,8,disjoint
28,14,disjoint
28,21,disjoint
28,19,disjoint
28,20,disjoint
28,15,disjoint
28,G7,disjoint
28,G4,disjoint
28,18,disjoint
28,17,disjoint
28,16,disjoint
28,0,disjoint
28,1,disjoint
28,2,disjoint
28,22,disjoint
28,110204,disjoint
28,23,disjoint
30,13,disjoint
30,8,disjoint
30,14,disjoint
30,21,disjoint
30,19,disjoint
30,20,disjoint
30,15,disjoint
30,G7,disjoint
30,G4,disjoint
30,18,disjoint
30,17,disjoint
30,16,disjoint
30,0,disjoint
30,1,disjoint
30,2,disjoint
30,22,disjoint
30,110204,disjoint
30,23,disjoint
29,13,disjoint
29,8,disjoint
29,14,disjoint
29,21,disjoint
29,19,disjoint
29,20,disjoint
29,15,disjoint
29,G7,disjoint
29,G4,disjoint
29,18,disjoint
29,17,disjoint
29,16,disjoint
29,0,disjoint
29,1,disjoint
29,2,disjoint
29,22,disjoint
29,110204,disjoint
29,23,disjoint
 ,leftRight, 
8,110111,nonAdjacent
8,110112,nonAdjacent
8,110113,nonAdjacent
8,110114,nonAdjacent
8,110115,nonAdjacent
8,110116,nonAdjacent
8,110117,nonAdjacent
8,110118,nonAdjacent
8,110119,nonAdjacent
8,110120,nonAdjacent
8,110121,nonAdjacent
8,110122,nonAdjacent
8,110123,nonAdjacent
8,110124,nonAdjacent
8,110125,nonAdjacent
8,110126,nonAdjacent
8,110127,nonAdjacent
8,110128,nonAdjacent
8,110129,nonAdjacent
8,110130,nonAdjacent
8,110131,nonAdjacent
8,110132,nonAdjacent
8,110133,nonAdjacent
8,110134,nonAdjacent
8,110135,nonAdjacent
8,110136,nonAdjacent
8,110137,nonAdjacent
8,110138,nonAdjacent
8,110139,nonAdjacent
8,24,nonAdjacent
8,25,nonAdjacent
8,26,nonAdjacent
8,27,nonAdjacent
8,28,left
8,30,left
8,29,left
20,110111,nonAdjacent
20,110112,nonAdjacent
20,110113,nonAdjacent
20,110114,nonAdjacent
20,110115,nonAdjacent
20,110116,nonAdjacent
20,110117,nonAdjacent
20,110118,nonAdjacent
20,110119,nonAdjacent
20,110120,nonAdjacent
20,110121,nonAdjacent
20,110122,nonAdjacent
20,110123,nonAdjacent
20,110124,nonAdjacent
20,110125,nonAdjacent
20,110126,nonAdjacent
20,110127,nonAdjacent
20,110128,nonAdjacent
20,110129,nonAdjacent
20,110130,nonAdjacent
20,110131,nonAdjacent
20,110132,nonAdjacent
20,110133,nonAdjacent
20,110134,nonAdjacent
20,110135,left
20,110136,left
20,110137,left
20,110138,left
20,110139,left
20,24,nonAdjacent
20,25,right
20,26,nonAdjacent
20,27,right
20,28,nonAdjacent
20,30,nonAdjacent
20,29,nonAdjacent
16,110111,nonAdjacent
16,110112,nonAdjacent
16,110113,nonAdjacent
16,110114,nonAdjacent
16,110115,nonAdjacent
16,110116,nonAdjacent
16,110117,nonAdjacent
16,110118,nonAdjacent
16,110119,nonAdjacent
16,110120,nonAdjacent
16,110121,nonAdjacent
16,110122,nonAdjacent
16,110123,nonAdjacent
16,110124,nonAdjacent
16,110125,nonAdjacent
16,110126,nonAdjacent
16,110127,nonAdjacent
16,110128,nonAdjacent
16,110129,nonAdjacent
16,110130,nonAdjacent
16,110131,nonAdjacent
16,110132,nonAdjacent
16,110133,nonAdjacent
16,110134,nonAdjacent
16,110135,right
16,110136,right
16,110137,right
16,110138,right
16,110139,right
16,24,nonAdjacent
16,25,crosses
16,26,nonAdjacent
16,27,nonAdjacent
16,28,left
16,30,nonAdjacent
16,29,nonAdjacent
0,110111,nonAdjacent
0,110112,nonAdjacent
0,110113,nonAdjacent
0,110114,nonAdjacent
0,110115,nonAdjacent
0,110116,nonAdjacent
0,110117,nonAdjacent
0,110118,nonAdjacent
0,110119,nonAdjacent
0,110120,nonAdjacent
0,110121,nonAdjacent
0,110122,nonAdjacent
0,110123,nonAdjacent
0,110124,nonAdjacent
0,110125,nonAdjacent
0,110126,nonAdjacent
0,110127,nonAdjacent
0,110128,nonAdjacent
0,110129,nonAdjacent
0,110130,nonAdjacent
0,110131,nonAdjacent
0,110132,nonAdjacent
0,110133,nonAdjacent
0,110134,nonAdjacent
0,110135,nonAdjacent
0,110136,nonAdjacent
0,110137,nonAdjacent
0,110138,nonAdjacent
0,110139,nonAdjacent
0,24,nonAdjacent
0,25,nonAdjacent
0,26,nonAdjacent
0,27,nonAdjacent
0,28,nonAdjacent
0,30,right
0,29,nonAdjacent
2,110111,nonAdjacent
2,110112,nonAdjacent
2,110113,nonAdjacent
2,110114,nonAdjacent
2,110115,nonAdjacent
2,110116,nonAdjacent
2,110117,nonAdjacent
2,110118,nonAdjacent
2,110119,nonAdjacent
2,110120,nonAdjacent
2,110121,nonAdjacent
2,110122,nonAdjacent
2,110123,nonAdjacent
2,110124,nonAdjacent
2,110125,nonAdjacent
2,110126,nonAdjacent
2,110127,nonAdjacent
2,110128,nonAdjacent
2,110129,nonAdjacent
2,110130,nonAdjacent
2,110131,nonAdjacent
2,110132,nonAdjacent
2,110133,nonAdjacent
