Object 1 , Object 2, Relations
 ,RCC8, 
110119,110134,dc
110119,110135,dc
110119,110136,dc
110119,110137,dc
110119,110138,dc
110119,110139,dc
110119,110140,dc
110119,110141,dc
110119,110142,dc
110119,110143,dc
110119,110144,dc
110119,110145,dc
110119,110146,dc
110119,110147,dc
110119,110148,dc
110119,110149,dc
110119,110150,dc
110119,110151,dc
110119,110152,dc
110119,110153,dc
110119,110154,dc
110119,110155,dc
110119,110156,dc
110119,110157,dc
110119,110158,dc
110119,110159,dc
110119,110160,dc
110119,110161,dc
110119,110162,dc
110119,110163,dc
110119,110164,dc
110119,110165,dc
110119,110166,dc
110119,110167,dc
110119,110168,dc
110119,110169,dc
110119,110170,dc
110119,110171,dc
110119,110172,dc
110119,110173,dc
110119,22,dc
110119,23,dc
110119,24,dc
110119,29,dc
110119,30,dc
110119,25,dc
110119,26,dc
110119,27,dc
110119,28,dc
110120,110121,dc
110120,110122,dc
110120,110123,dc
110120,110124,dc
110120,110125,dc
110120,110126,dc
110120,110127,dc
110120,110128,dc
110120,110129,dc
110120,110130,dc
110120,110131,dc
110120,110132,dc
110120,110133,dc
110120,110134,dc
110120,110135,dc
110120,110136,dc
110120,110137,dc
110120,110138,dc
110120,110139,dc
110120,110140,dc
110120,110141,dc
110120,110142,dc
110120,110143,dc
110120,110144,dc
110120,110145,dc
110120,110146,dc
110120,110147,dc
110120,110148,dc
110120,110149,dc
110120,110150,dc
110120,110151,dc
110120,110152,dc
110120,110153,dc
110120,110154,dc
110120,110155,dc
110120,110156,dc
110120,110157,dc
110120,110158,dc
110120,110159,dc
110120,110160,dc
110120,110161,dc
110120,110162,dc
110120,110163,dc
110120,110164,dc
110120,110165,dc
110120,110166,dc
110120,110167,dc
110120,110168,dc
110120,110169,dc
110120,110170,dc
110120,110171,dc
110120,110172,dc
110120,110173,dc
110120,22,dc
110120,23,dc
110120,24,dc
110120,29,dc
110120,30,dc
110120,25,dc
110120,26,dc
110120,27,dc
110120,28,dc
110121,110122,po
110121,110123,dc
110121,110124,dc
110121,110125,dc
110121,110126,dc
110121,110127,dc
110121,110128,dc
110121,110129,dc
110121,110130,dc
110121,110131,dc
110121,110132,dc
110121,110133,dc
110121,110134,dc
110121,110135,dc
110121,110136,dc
110121,110137,dc
110121,110138,dc
110121,110139,dc
110121,110140,dc
